cost,monthly-cost,talktime,monthly-talktime,validity,details,comments
20,nil,14.95,nil,nil,Cost: Rs20 | Validity: Unlimited | Talktime: Rs14.95,Talktime of Rs. 14.95 for Rs. 20 recharge by Airtel
30,nil,22.42,nil,nil,Cost: Rs30 | Validity: Unlimited | Talktime: Rs22.42,Talktime of Rs. 22.42 for Rs. 30 recharge by Airtel
40,nil,30.9,nil,nil,Cost: Rs40 | Validity: Unlimited | Talktime: Rs30.9,Talktime of Rs. 30.9 for Rs. 40 recharge by Airtel
50,nil,39.37,nil,nil,Cost: Rs50 | Validity: Unlimited | Talktime: Rs39.37,Talktime of Rs. 39.37 for Rs. 50 recharge by Airtel
70,nil,56.32,nil,nil,Cost: Rs70 | Validity: Unlimited | Talktime: Rs56.32,Talktime of Rs. 56.32 for Rs. 70 recharge by Airtel
80,nil,64.8,nil,nil,Cost: Rs80 | Validity: Unlimited | Talktime: Rs64.8,Talktime of Rs. 64.8 for Rs. 80 recharge by Airtel
100,nil,81.75,nil,nil,Cost: Rs100 | Validity: Unlimited | Talktime: Rs81.75,Talktime of Rs. 81.75 for Rs. 100 recharge by Airtel
110,nil,90.22,nil,nil,Cost: Rs110 | Validity: Unlimited | Talktime: Rs90.22,Talktime of Rs. 90.22 for Rs. 110 recharge by Airtel
120,nil,98.69,nil,nil,Cost: Rs120 | Validity: Unlimited | Talktime: Rs98.69,Talktime of Rs. 98.69 for Rs. 120 recharge by Airtel
150,nil,124.12,nil,nil,Cost: Rs150 | Validity: Unlimited | Talktime: Rs124.12,Talktime of Rs. 124.12 for Rs. 150 recharge by Airtel
200,nil,190,nil,nil,Cost: Rs200 | Validity: Unlimited | Talktime: Rs190,Talktime of Rs. 190 for Rs. 200 recharge by Airtel
250,nil,238,nil,nil,Cost: Rs250 | Validity: Unlimited | Talktime: Rs238,Talktime of Rs. 238 for Rs. 250 recharge by Airtel
300,nil,290,nil,nil,Cost: Rs300 | Validity: Unlimited | Talktime: Rs290,Talktime of Rs. 290 for Rs. 300 recharge by Airtel
350,nil,350,nil,nil,Cost: Rs350 | Validity: Unlimited | Talktime: Rs350,Talktime of Rs. 350 for Rs. 350 recharge by Airtel
500,nil,500,nil,nil,Cost: Rs500 | Validity: Unlimited | Talktime: Rs500,Talktime of Rs. 500 for Rs. 500 recharge by Airtel
700,nil,700,nil,nil,Cost: Rs700 | Validity: Unlimited | Talktime: Rs700,Talktime of Rs. 700 for Rs. 700 recharge by Airtel
800,nil,800,nil,nil,Cost: Rs800 | Validity: Unlimited | Talktime: Rs800,Talktime of Rs. 800 for Rs. 800 recharge by Airtel
1000,nil,1000,nil,nil,Cost: Rs1000 | Validity: Unlimited | Talktime: Rs1000,Talktime of Rs. 1000 for Rs. 1000 recharge by Airtel
1500,nil,1550,nil,nil,Cost: Rs1500 | Validity: Unlimited | Talktime: Rs1550,Talktime of Rs. 1550 for Rs. 1500 recharge by Airtel
2000,nil,2000,nil,nil,Cost: Rs2000 | Validity: Unlimited | Talktime: Rs2000,Talktime of Rs. 2000 for Rs. 2000 recharge by Airtel
2500,nil,2600,nil,nil,Cost: Rs2500 | Validity: Unlimited | Talktime: Rs2600,Talktime of Rs. 2600 for Rs. 2500 recharge by Airtel
3000,nil,3000,nil,nil,Cost: Rs3000 | Validity: Unlimited | Talktime: Rs3000,Talktime of Rs. 3000 for Rs. 3000 recharge by Airtel
4000,nil,4100,nil,nil,Cost: Rs4000 | Validity: Unlimited | Talktime: Rs4100,Talktime of Rs. 4100 for Rs. 4000 recharge by Airtel
5000,nil,5000,nil,nil,Cost: Rs5000 | Validity: Unlimited | Talktime: Rs5000,Talktime of Rs. 5000 for Rs. 5000 recharge by Airtel
